"#","name","cooking_time","complexity","price","created_at"
"1","BR.EI","","6","1.9","2022-12-23T00:18:12.000000Z"
"2","BROODJE KAAS","","3","1.9","2022-12-23T00:18:12.000000Z"
"3","BR.FRIKANDEL","300","3","1.9","2022-12-23T00:18:12.000000Z"
"4","BROODJE KROKET","300","2","1.9","2022-12-23T00:18:12.000000Z"
"5","BROODJE GOULASH","300","2","1.9","2022-12-23T00:18:12.000000Z"
"6","BROODJE KNAKW.","250","3","1.9","2022-12-23T00:18:12.000000Z"
"7","BROODJE SATEKR.","300","2","1.9","2022-12-23T00:18:12.000000Z"
"8","BROODJE GEH.BAL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"9","BROODJE GEZOND","","7","1.9","2022-12-23T00:18:12.000000Z"
"10","BROODJE SHOARMA","250","4","1.9","2022-12-23T00:18:12.000000Z"
"11","BROODJE SJORTIE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"12","BROODJE","","1","1.9","2022-12-23T00:18:12.000000Z"
"13","HAMBURGER GEWOON","600","3","1.9","2022-12-23T00:18:12.000000Z"
"14","HAMBURGER SPECIAAL","600","4","1.9","2022-12-23T00:18:12.000000Z"
"15","HAMBURGER ZIGEUN","600","6","1.9","2022-12-23T00:18:12.000000Z"
"16","HAMBURGER HAWAII","600","5","1.9","2022-12-23T00:18:12.000000Z"
"17","HAMBURGER POLLEK","600","5","1.9","2022-12-23T00:18:12.000000Z"
"18","HAMBURGER DALLAS","600","6","1.9","2022-12-23T00:18:12.000000Z"
"19","HAMBURGER NATUREL","600","2","1.9","2022-12-23T00:18:12.000000Z"
"20","KIPBURGER GEWOON","300","3","1.9","2022-12-23T00:18:12.000000Z"
"21","KIPBURGER SPECIAAL","300","4","1.9","2022-12-23T00:18:12.000000Z"
"22","CHEES BURGER","600","4","1.9","2022-12-23T00:18:12.000000Z"
"23","BR.MULKYBURG.GEWOON","300","3","1.9","2022-12-23T00:18:12.000000Z"
"24","BR.MULKYBURG.SPECIAAL","300","4","1.9","2022-12-23T00:18:12.000000Z"
"25","COLA","","1","1.9","2022-12-23T00:18:12.000000Z"
"26","COLA ZERO","","1","1.9","2022-12-23T00:18:12.000000Z"
"27","FANTA","","1","1.9","2022-12-23T00:18:12.000000Z"
"28","SPRITE","","1","1.9","2022-12-23T00:18:12.000000Z"
"29","CHERRY COKE","","1","1.9","2022-12-23T00:18:12.000000Z"
"30","SPA BLAUW","","1","1.9","2022-12-23T00:18:12.000000Z"
"31","CHOCOMEL","","1","1.9","2022-12-23T00:18:12.000000Z"
"32","FRISTI","","1","1.9","2022-12-23T00:18:12.000000Z"
"33","DR.PEPPER","","1","1.9","2022-12-23T00:18:12.000000Z"
"34","DR.FOOTS","","1","1.9","2022-12-23T00:18:12.000000Z"
"35","FANTA CASSIS","","1","1.9","2022-12-23T00:18:12.000000Z"
"36","APPELSAP","","1","1.9","2022-12-23T00:18:12.000000Z"
"37","ICE TEA","","1","1.9","2022-12-23T00:18:12.000000Z"
"38","RED BULL","","1","1.9","2022-12-23T00:18:12.000000Z"
"39","AA DRINK","","1","1.9","2022-12-23T00:18:12.000000Z"
"40","ICE TEA GREEN","","1","1.9","2022-12-23T00:18:12.000000Z"
"41","KOFFIE","60","6","1.9","2022-12-23T00:18:12.000000Z"
"42","THEE","60","6","1.9","2022-12-23T00:18:12.000000Z"
"43","KINDERCOLA","","1","1.9","2022-12-23T00:18:12.000000Z"
"44","CAPRISONNE","","1","1.9","2022-12-23T00:18:12.000000Z"
"45","SPA ROOD","","1","1.9","2022-12-23T00:18:12.000000Z"
"46","BLIKJE BIER","","1","1.9","2022-12-23T00:18:12.000000Z"
"47","DIKKE FRIET","300","1","1.9","2022-12-23T00:18:12.000000Z"
"48","FRANSE FRIET","300","1","1.9","2022-12-23T00:18:12.000000Z"
"49","FRIET MAYO","300","2","1.9","2022-12-23T00:18:12.000000Z"
"50","FRIET CURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"51","FRIET MAYO+UI","300","2","1.9","2022-12-23T00:18:12.000000Z"
"52","FRIET TOM.KETCH","300","2","1.9","2022-12-23T00:18:12.000000Z"
"53","FRIET SPECIAAL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"54","FRIET SATE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"55","FRIET STOOFVLEES","300","2","1.9","2022-12-23T00:18:12.000000Z"
"56","FRIETZIGEUNERSAUS","300","3","1.9","2022-12-23T00:18:12.000000Z"
"57","FRIET KNOFL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"58","FRIET JOPPIE","300","2","1.9","2022-12-23T00:18:12.000000Z"
